timestamp,x,y,SSID,RSSI,Mac addr.

2025-05-27 17:50:06.154155,5.9861114564084,6.856369658372569,DIRECT-34-HP M283 LaserJet,-56,AA:3B:76:CB:18:34
2025-05-27 17:50:06.263760,5.9861114564084,6.856369658372569,D-Link_DIR-612,-59,48:EE:0C:A9:21:B0
2025-05-27 17:50:06.375394,5.9861114564084,6.856369658372569,ASUS_A8_2G,-60,F0:2F:74:E2:C4:A8
2025-05-27 17:50:06.484187,5.9861114564084,6.856369658372569,Andy,-62,06:90:08:27:28:40
2025-05-27 17:50:06.591820,5.9861114564084,6.856369658372569,LAB337_EX(2.4G),-63,34:97:F6:A6:80:40
2025-05-27 17:50:06.698296,5.9861114564084,6.856369658372569,eduroam,-64,F4:2E:7F:D3:10:80
2025-05-27 17:50:06.806530,5.9861114564084,6.856369658372569,NYCU-Seminar,-65,F4:2E:7F:D3:10:84
2025-05-27 17:50:06.915376,5.9861114564084,6.856369658372569,NYCU,-66,F4:2E:7F:D3:10:82
2025-05-27 17:50:07.025451,5.9861114564084,6.856369658372569,NYCU-Guest,-66,F4:2E:7F:D3:10:83
2025-05-27 17:50:07.135298,5.9861114564084,6.856369658372569,APL_ASUS,-66,10:C3:7B:C5:F8:00
2025-05-27 17:50:07.242015,5.9861114564084,6.856369658372569,BMELab,-68,AC:9E:17:79:CE:50
2025-05-27 17:50:07.350265,5.9861114564084,6.856369658372569,LAB334,-70,10:27:F5:E0:85:37
2025-05-27 17:50:07.461362,5.9861114564084,6.856369658372569,AIUVL,-70,10:7C:61:DA:BF:A6
2025-05-27 17:50:07.570487,5.9861114564084,6.856369658372569,LAB335-1,-72,40:86:CB:DF:DB:C8
2025-05-27 17:50:07.682226,5.9861114564084,6.856369658372569,BMELabIII,-75,14:DA:E9:80:B0:34
2025-05-27 17:50:07.789066,5.9861114564084,6.856369658372569,NYCU,-77,F4:2E:7F:D2:93:A2
2025-05-27 17:50:07.895597,5.9861114564084,6.856369658372569,NYCU-Guest,-77,F4:2E:7F:D2:93:A3
2025-05-27 17:50:08.002198,5.9861114564084,6.856369658372569,NYCU-Seminar,-77,F4:2E:7F:D2:93:A4
2025-05-27 17:50:08.111256,5.9861114564084,6.856369658372569,eduroam,-78,F4:2E:7F:D2:93:A0
2025-05-27 17:50:08.222581,5.9861114564084,6.856369658372569,DIRECT-c1-HP M141 LaserJet,-78,5E:60:BA:43:7D:C1
2025-05-27 17:50:08.335136,5.9861114564084,6.856369658372569,DIRECT-3E-HP Color LJ 4303,-79,BE:0F:F3:F6:CA:3E
