time_s,x,y,wifi_ssid,wifi_rssi,wifi_mac
5.746,-0.5309626084914639,1.0446244309398909,ASUS_A8_2G,-41,F0:2F:74:E2:C4:A8
5.754,-0.5309626084914639,1.0446244309398909,JacksoniPhone,-56,DA:9A:F3:00:FF:3E
5.762,-0.5309626084914639,1.0446244309398909,DIRECT-34-HP M283 LaserJet,-59,AA:3B:76:CB:18:34
5.767,-0.5309626084914639,1.0446244309398909,BMELabIII,-59,14:DA:E9:80:B0:34
5.772,-0.5309626084914639,1.0446244309398909,BMELab,-61,AC:9E:17:79:CE:50
5.777,-0.5309626084914639,1.0446244309398909,NYCU,-66,F4:2E:7F:D3:10:82
5.783,-0.5309626084914639,1.0446244309398909,eduroam,-66,F4:2E:7F:D3:10:80
5.788,-0.5309626084914639,1.0446244309398909,NYCU-Seminar,-79,F4:2E:7F:D2:93:A4
5.793,-0.5309626084914639,1.0446244309398909,PM2.5_Setup_E4,-85,74:DA:38:C7:D3:E5
6.347,-0.5309626084914639,1.0446244309398909,ASUS_A8_2G,-42,F0:2F:74:E2:C4:A8
6.353,-0.5309626084914639,1.0446244309398909,JacksoniPhone,-56,DA:9A:F3:00:FF:3E
6.360,-0.5309626084914639,1.0446244309398909,LAB334,-56,10:27:F5:E0:85:37
6.367,-0.5309626084914639,1.0446244309398909,DIRECT-34-HP M283 LaserJet,-57,AA:3B:76:CB:18:34
6.375,-0.5309626084914639,1.0446244309398909,LAB337_EX(2.4G),-61,34:97:F6:A6:80:40
6.383,-0.5309626084914639,1.0446244309398909,D-Link_DIR-612,-62,48:EE:0C:A9:21:B0
6.389,-0.5309626084914639,1.0446244309398909,BMELabIII,-63,14:DA:E9:80:B0:34
6.394,-0.5309626084914639,1.0446244309398909,AIUVL,-63,10:7C:61:DA:BF:A6
6.403,-0.5309626084914639,1.0446244309398909,eduroam,-66,F4:2E:7F:D3:10:80
6.408,-0.5309626084914639,1.0446244309398909,NYCU,-66,F4:2E:7F:D3:10:82
6.415,-0.5309626084914639,1.0446244309398909,NYCU-Guest,-66,F4:2E:7F:D3:10:83
6.420,-0.5309626084914639,1.0446244309398909,NYCU-Seminar,-66,F4:2E:7F:D3:10:84
6.426,-0.5309626084914639,1.0446244309398909,DIRECT-3E-HP Color LJ 4303,-73,BE:0F:F3:F6:CA:3E
6.431,-0.5309626084914639,1.0446244309398909,DIRECT-524ABFA7,-81,3A:1A:52:4A:3F:A7
6.446,-0.5309626084914639,1.0446244309398909,NYCU,-85,F4:2E:7F:D2:93:A2
6.452,-0.5309626084914639,1.0446244309398909,arai2,-86,DA:E3:E5:C9:A9:E4
6.546,-0.5309626084914639,1.0446244309398909,arai,-88,D8:EC:E5:C9:A9:E3
9.550,-0.341426906362592,1.0745223051414385,ASUS_A8_2G,-47,F0:2F:74:E2:C4:A8
9.560,-0.341426906362592,1.0745223051414385,DIRECT-34-HP M283 LaserJet,-51,AA:3B:76:CB:18:34
9.571,-0.341426906362592,1.0745223051414385,LAB334,-55,10:27:F5:E0:85:37
9.576,-0.341426906362592,1.0745223051414385,JacksoniPhone,-56,DA:9A:F3:00:FF:3E
9.580,-0.341426906362592,1.0745223051414385,BMELabIII,-59,14:DA:E9:80:B0:34
9.586,-0.341426906362592,1.0745223051414385,DIRECT-3E-HP Color LJ 4303,-71,BE:0F:F3:F6:CA:3E
9.590,-0.341426906362592,1.0745223051414385,BMELab,-73,AC:9E:17:79:CE:50
12.546,0.23945561355531633,1.2018171221706517,ASUS_A8_2G,-45,F0:2F:74:E2:C4:A8
12.552,0.23945561355531633,1.2018171221706517,D-Link_DIR-612,-48,48:EE:0C:A9:21:B0
12.646,0.23945561355531633,1.2018171221706517,JacksoniPhone,-51,DA:9A:F3:00:FF:3E
12.653,0.23945561355531633,1.2018171221706517,DIRECT-34-HP M283 LaserJet,-52,AA:3B:76:CB:18:34
12.658,0.23945561355531633,1.2018171221706517,LAB334,-52,10:27:F5:E0:85:37
12.664,0.23945561355531633,1.2018171221706517,BMELab,-60,AC:9E:17:79:CE:50
12.669,0.23945561355531633,1.2018171221706517,eduroam,-61,F4:2E:7F:D3:10:80
12.674,0.23945561355531633,1.2018171221706517,NYCU-Seminar,-61,F4:2E:7F:D3:10:84
12.679,0.23945561355531633,1.2018171221706517,NYCU,-63,F4:2E:7F:D3:10:82
12.684,0.23945561355531633,1.2018171221706517,NYCU-Guest,-64,F4:2E:7F:D3:10:83
12.690,0.23945561355531633,1.2018171221706517,NYCU,-77,F4:2E:7F:D2:93:A2
12.695,0.23945561355531633,1.2018171221706517,eduroam,-78,F4:2E:7F:D2:93:A0
12.700,0.23945561355531633,1.2018171221706517,NYCU-Guest,-78,F4:2E:7F:D2:93:A3
12.705,0.23945561355531633,1.2018171221706517,DIRECT-3E-HP Color LJ 4303,-78,BE:0F:F3:F6:CA:3E
12.710,0.23945561355531633,1.2018171221706517,NYCU-Seminar,-79,F4:2E:7F:D2:93:A4
15.747,0.4058326761352462,1.1312142063393766,ASUS_A8_2G,-48,F0:2F:74:E2:C4:A8
15.754,0.4058326761352462,1.1312142063393766,JacksoniPhone,-49,DA:9A:F3:00:FF:3E
15.761,0.4058326761352462,1.1312142063393766,DIRECT-34-HP M283 LaserJet,-55,AA:3B:76:CB:18:34
15.765,0.4058326761352462,1.1312142063393766,D-Link_DIR-612,-56,48:EE:0C:A9:21:B0
15.770,0.4058326761352462,1.1312142063393766,BMELab,-59,AC:9E:17:79:CE:50
15.775,0.4058326761352462,1.1312142063393766,eduroam,-64,F4:2E:7F:D3:10:80
15.780,0.4058326761352462,1.1312142063393766,NYCU,-64,F4:2E:7F:D3:10:82
15.784,0.4058326761352462,1.1312142063393766,NYCU-Guest,-66,F4:2E:7F:D3:10:83
15.789,0.4058326761352462,1.1312142063393766,BMELabIII,-67,14:DA:E9:80:B0:34
15.795,0.4058326761352462,1.1312142063393766,DIRECT-3E-HP Color LJ 4303,-70,BE:0F:F3:F6:CA:3E
15.800,0.4058326761352462,1.1312142063393766,NYCU-Seminar,-72,F4:2E:7F:D3:10:84
15.805,0.4058326761352462,1.1312142063393766,eduroam,-76,F4:2E:7F:D2:93:A0
15.847,0.4058326761352462,1.1312142063393766,NYCU,-76,F4:2E:7F:D2:93:A2
15.854,0.4058326761352462,1.1312142063393766,NYCU-Guest,-76,F4:2E:7F:D2:93:A3
15.860,0.4058326761352462,1.1312142063393766,NYCU-Seminar,-77,F4:2E:7F:D2:93:A4
19.147,0.9029362017646468,1.0480495132302905,ASUS_A8_2G,-50,F0:2F:74:E2:C4:A8
19.153,0.9029362017646468,1.0480495132302905,DIRECT-34-HP M283 LaserJet,-54,AA:3B:76:CB:18:34
19.159,0.9029362017646468,1.0480495132302905,D-Link_DIR-612,-56,48:EE:0C:A9:21:B0
19.164,0.9029362017646468,1.0480495132302905,LAB334,-58,10:27:F5:E0:85:37
19.169,0.9029362017646468,1.0480495132302905,BMELab,-61,AC:9E:17:79:CE:50
19.174,0.9029362017646468,1.0480495132302905,AIUVL,-62,10:7C:61:DA:BF:A6
19.179,0.9029362017646468,1.0480495132302905,NYCU,-65,F4:2E:7F:D3:10:82
19.184,0.9029362017646468,1.0480495132302905,NYCU-Guest,-65,F4:2E:7F:D3:10:83
19.188,0.9029362017646468,1.0480495132302905,JacksoniPhone,-66,DA:9A:F3:00:FF:3E
19.193,0.9029362017646468,1.0480495132302905,BMELabIII,-66,14:DA:E9:80:B0:34
19.198,0.9029362017646468,1.0480495132302905,eduroam,-70,F4:2E:7F:D3:10:80
22.046,1.2432842411591807,1.204917270155128,JacksoniPhone,-43,DA:9A:F3:00:FF:3E
22.056,1.2432842411591807,1.204917270155128,DIRECT-34-HP M283 LaserJet,-52,AA:3B:76:CB:18:34
22.071,1.2432842411591807,1.204917270155128,D-Link_DIR-612,-61,48:EE:0C:A9:21:B0
22.087,1.2432842411591807,1.204917270155128,NYCU,-66,F4:2E:7F:D3:10:82
22.102,1.2432842411591807,1.204917270155128,NYCU-Guest,-66,F4:2E:7F:D3:10:83
22.119,1.2432842411591807,1.204917270155128,NYCU-Seminar,-66,F4:2E:7F:D3:10:84
22.136,1.2432842411591807,1.204917270155128,eduroam,-67,F4:2E:7F:D3:10:80
22.153,1.2432842411591807,1.204917270155128,BMELabIII,-78,14:DA:E9:80:B0:34
22.172,1.2432842411591807,1.204917270155128,NYCU-Guest,-79,F4:2E:7F:D2:93:A3
22.190,1.2432842411591807,1.204917270155128,NYCU-Seminar,-81,F4:2E:7F:D2:93:A4
25.347,2.5236546963716893,2.3515368236723253,ASUS_A8_2G,-41,F0:2F:74:E2:C4:A8
25.353,2.5236546963716893,2.3515368236723253,JacksoniPhone,-49,DA:9A:F3:00:FF:3E
25.358,2.5236546963716893,2.3515368236723253,DIRECT-34-HP M283 LaserJet,-50,AA:3B:76:CB:18:34
25.363,2.5236546963716893,2.3515368236723253,LAB337_EX(2.4G),-56,34:97:F6:A6:80:40
25.368,2.5236546963716893,2.3515368236723253,BMELab,-67,AC:9E:17:79:CE:50
25.374,2.5236546963716893,2.3515368236723253,NYCU,-68,F4:2E:7F:D3:10:82
25.379,2.5236546963716893,2.3515368236723253,D-Link_DIR-612,-68,48:EE:0C:A9:21:B0
25.384,2.5236546963716893,2.3515368236723253,APL_ASUS,-70,10:C3:7B:C5:F8:00
25.389,2.5236546963716893,2.3515368236723253,NYCU-Guest,-72,F4:2E:7F:D3:10:83
25.446,2.5236546963716893,2.3515368236723253,NYCU-Seminar,-72,F4:2E:7F:D3:10:84
25.454,2.5236546963716893,2.3515368236723253,eduroam,-74,F4:2E:7F:D3:10:80
25.461,2.5236546963716893,2.3515368236723253,DIRECT-3E-HP Color LJ 4303,-76,BE:0F:F3:F6:CA:3E
25.466,2.5236546963716893,2.3515368236723253,NYCU-Guest,-77,F4:2E:7F:D2:93:A3
25.472,2.5236546963716893,2.3515368236723253,NYCU-Seminar,-77,F4:2E:7F:D2:93:A4
25.478,2.5236546963716893,2.3515368236723253,eduroam,-78,F4:2E:7F:D2:93:A0
25.483,2.5236546963716893,2.3515368236723253,NYCU,-78,F4:2E:7F:D2:93:A2
29.053,2.4682929384054013,2.9450161405304423,JacksoniPhone,-50,DA:9A:F3:00:FF:3E
29.063,2.4682929384054013,2.9450161405304423,LAB334,-51,10:27:F5:E0:85:37
29.070,2.4682929384054013,2.9450161405304423,DIRECT-34-HP M283 LaserJet,-52,AA:3B:76:CB:18:34
29.078,2.4682929384054013,2.9450161405304423,D-Link_DIR-612,-54,48:EE:0C:A9:21:B0
29.083,2.4682929384054013,2.9450161405304423,ASUS_A8_2G,-55,F0:2F:74:E2:C4:A8
29.088,2.4682929384054013,2.9450161405304423,NYCU-Guest,-67,F4:2E:7F:D3:10:83
29.093,2.4682929384054013,2.9450161405304423,NYCU-Seminar,-67,F4:2E:7F:D3:10:84
29.098,2.4682929384054013,2.9450161405304423,LAB337_EX(2.4G),-68,34:97:F6:A6:80:40
29.103,2.4682929384054013,2.9450161405304423,Lab542,-74,A0:36:BC:0E:7A:B8
29.110,2.4682929384054013,2.9450161405304423,BMELab,-74,AC:9E:17:79:CE:50
29.119,2.4682929384054013,2.9450161405304423,NYCU-Guest,-75,F4:2E:7F:D2:93:A3
29.126,2.4682929384054013,2.9450161405304423,NYCU-Seminar,-75,F4:2E:7F:D2:93:A4
29.134,2.4682929384054013,2.9450161405304423,eduroam,-76,F4:2E:7F:D2:93:A0
29.140,2.4682929384054013,2.9450161405304423,NYCU,-76,F4:2E:7F:D2:93:A2
29.147,2.4682929384054013,2.9450161405304423,DIRECT-3E-HP Color LJ 4303,-76,BE:0F:F3:F6:CA:3E
29.156,2.4682929384054013,2.9450161405304423,DIRECT-524ABFA7,-79,3A:1A:52:4A:3F:A7
29.164,2.4682929384054013,2.9450161405304423,arai,-88,D8:EC:E5:C9:A9:E3
32.447,2.061697660132079,2.630224064423298,JacksoniPhone,-48,DA:9A:F3:00:FF:3E
32.453,2.061697660132079,2.630224064423298,BMELabIII,-50,14:DA:E9:80:B0:34
32.458,2.061697660132079,2.630224064423298,ASUS_A8_2G,-50,F0:2F:74:E2:C4:A8
32.464,2.061697660132079,2.630224064423298,D-Link_DIR-612,-51,48:EE:0C:A9:21:B0
32.469,2.061697660132079,2.630224064423298,LAB334,-51,10:27:F5:E0:85:37
32.474,2.061697660132079,2.630224064423298,DIRECT-34-HP M283 LaserJet,-57,AA:3B:76:CB:18:34
32.479,2.061697660132079,2.630224064423298,LAB337_EX(2.4G),-58,34:97:F6:A6:80:40
32.484,2.061697660132079,2.630224064423298,NYCU,-71,F4:2E:7F:D3:10:82
32.489,2.061697660132079,2.630224064423298,NYCU-Guest,-71,F4:2E:7F:D3:10:83
32.494,2.061697660132079,2.630224064423298,eduroam,-72,F4:2E:7F:D3:10:80
32.499,2.061697660132079,2.630224064423298,NYCU-Seminar,-72,F4:2E:7F:D3:10:84
32.504,2.061697660132079,2.630224064423298,NYCU,-75,F4:2E:7F:D2:93:A2
32.509,2.061697660132079,2.630224064423298,eduroam,-76,F4:2E:7F:D2:93:A0
32.546,2.061697660132079,2.630224064423298,NYCU-Guest,-76,F4:2E:7F:D2:93:A3
32.552,2.061697660132079,2.630224064423298,NYCU-Seminar,-76,F4:2E:7F:D2:93:A4
32.557,2.061697660132079,2.630224064423298,Lab542,-76,A0:36:BC:0E:7A:B8
32.563,2.061697660132079,2.630224064423298,DIRECT-3E-HP Color LJ 4303,-79,BE:0F:F3:F6:CA:3E
32.567,2.061697660132079,2.630224064423298,arai,-80,D8:EC:E5:C9:A9:E3
32.572,2.061697660132079,2.630224064423298,ARA_Public,-81,DA:E3:E5:C9:A9:E7
