time_s,x,y,wifi_ssid,wifi_rssi,wifi_mac
3.509,1.6524443764374581,3.151911576771449,ASUS_A8_2G,-55,F0:2F:74:E2:C4:A8
3.514,1.6524443764374581,3.151911576771449,D-Link_DIR-612,-58,48:EE:0C:A9:21:B0
3.520,1.6524443764374581,3.151911576771449,JacksoniPhone,-58,3E:CB:EC:CC:07:24
3.525,1.6524443764374581,3.151911576771449,AIUVL,-62,10:7C:61:DA:BF:A6
3.530,1.6524443764374581,3.151911576771449,NYCU-Seminar,-64,F4:2E:7F:D3:10:84
3.535,1.6524443764374581,3.151911576771449,NYCU,-64,F4:2E:7F:D3:10:82
3.539,1.6524443764374581,3.151911576771449,NYCU-Guest,-64,F4:2E:7F:D3:10:83
3.544,1.6524443764374581,3.151911576771449,BMELab,-64,AC:9E:17:79:CE:50
3.549,1.6524443764374581,3.151911576771449,jerryma,-65,F2:1A:15:DC:E4:ED
3.554,1.6524443764374581,3.151911576771449,eduroam,-65,F4:2E:7F:D3:10:80
3.558,1.6524443764374581,3.151911576771449,LAB334,-65,10:27:F5:E0:85:37
3.563,1.6524443764374581,3.151911576771449,DIRECT-34-HP M283 LaserJet,-68,AA:3B:76:CB:18:34
3.568,1.6524443764374581,3.151911576771449,Andy,-69,06:90:08:27:28:40
3.573,1.6524443764374581,3.151911576771449,BMELabIII,-71,14:DA:E9:80:B0:34
3.577,1.6524443764374581,3.151911576771449,DIRECT-3E-HP Color LJ 4303,-76,BE:0F:F3:F6:CA:3E
3.583,1.6524443764374581,3.151911576771449,DIRECT-79-HP M227f LaserJet,-77,4E:EB:BD:6F:EC:79
3.588,1.6524443764374581,3.151911576771449,eduroam,-84,F4:2E:7F:D2:93:A0
6.308,1.6069014560494823,2.937263719839885,JacksoniPhone,-44,3E:CB:EC:CC:07:24
6.314,1.6069014560494823,2.937263719839885,ASUS_A8_2G,-51,F0:2F:74:E2:C4:A8
6.320,1.6069014560494823,2.937263719839885,LAB334,-54,10:27:F5:E0:85:37
6.325,1.6069014560494823,2.937263719839885,RMS-10B1-AAS07,-54,9C:53:22:DD:7C:56
6.330,1.6069014560494823,2.937263719839885,D-Link_DIR-612,-60,48:EE:0C:A9:21:B0
6.336,1.6069014560494823,2.937263719839885,AIUVL,-62,10:7C:61:DA:BF:A6
6.341,1.6069014560494823,2.937263719839885,DIRECT-34-HP M283 LaserJet,-63,AA:3B:76:CB:18:34
6.410,1.6069014560494823,2.937263719839885,Andy,-66,06:90:08:27:28:40
6.416,1.6069014560494823,2.937263719839885,BMELab,-66,AC:9E:17:79:CE:50
6.423,1.6069014560494823,2.937263719839885,LAB337_EX(2.4G),-69,34:97:F6:A6:80:40
6.428,1.6069014560494823,2.937263719839885,jerryma,-70,F2:1A:15:DC:E4:ED
6.432,1.6069014560494823,2.937263719839885,eduroam,-70,F4:2E:7F:D3:10:80
6.437,1.6069014560494823,2.937263719839885,DIRECT-79-HP M227f LaserJet,-70,4E:EB:BD:6F:EC:79
6.442,1.6069014560494823,2.937263719839885,NYCU-Guest,-71,F4:2E:7F:D3:10:83
6.447,1.6069014560494823,2.937263719839885,NYCU-Seminar,-71,F4:2E:7F:D3:10:84
6.452,1.6069014560494823,2.937263719839885,APL_ASUS,-72,10:C3:7B:C5:F8:00
6.457,1.6069014560494823,2.937263719839885,NYCU,-74,F4:2E:7F:D3:10:82
6.461,1.6069014560494823,2.937263719839885,Lab542,-74,A0:36:BC:0E:7A:B8
6.466,1.6069014560494823,2.937263719839885,WYTN_RD-Meeting,-78,A8:5E:45:9A:73:80
6.471,1.6069014560494823,2.937263719839885,DIRECT-524ABFA7,-79,3A:1A:52:4A:3F:A7
6.511,1.6069014560494823,2.937263719839885,DIRECT-c1-HP M141 LaserJet,-80,5E:60:BA:43:7D:C1
6.518,1.6069014560494823,2.937263719839885,DIRECT-3E-HP Color LJ 4303,-80,BE:0F:F3:F6:CA:3E
6.523,1.6069014560494823,2.937263719839885,NYCU,-83,F4:2E:7F:D2:93:A2
6.528,1.6069014560494823,2.937263719839885,USEC,-86,CC:28:AA:B8:96:4A
10.111,2.12631830030083,2.4621400294905205,JacksoniPhone,-39,3E:CB:EC:CC:07:24
10.118,2.12631830030083,2.4621400294905205,ASUS_A8_2G,-54,F0:2F:74:E2:C4:A8
10.123,2.12631830030083,2.4621400294905205,LAB334,-55,10:27:F5:E0:85:37
10.130,2.12631830030083,2.4621400294905205,RMS-10B1-AAS07,-55,9C:53:22:DD:7C:56
10.135,2.12631830030083,2.4621400294905205,Andy,-57,06:90:08:27:28:40
10.140,2.12631830030083,2.4621400294905205,DIRECT-34-HP M283 LaserJet,-57,AA:3B:76:CB:18:34
10.145,2.12631830030083,2.4621400294905205,AIUVL,-62,10:7C:61:DA:BF:A6
10.150,2.12631830030083,2.4621400294905205,jerryma,-64,F2:1A:15:DC:E4:ED
10.155,2.12631830030083,2.4621400294905205,LAB337_EX(2.4G),-66,34:97:F6:A6:80:40
10.159,2.12631830030083,2.4621400294905205,BMELab,-66,AC:9E:17:79:CE:50
10.164,2.12631830030083,2.4621400294905205,D-Link_DIR-612,-69,48:EE:0C:A9:21:B0
10.169,2.12631830030083,2.4621400294905205,eduroam,-69,F4:2E:7F:D3:10:80
10.175,2.12631830030083,2.4621400294905205,NYCU,-69,F4:2E:7F:D3:10:82
10.180,2.12631830030083,2.4621400294905205,NYCU-Guest,-69,F4:2E:7F:D3:10:83
10.185,2.12631830030083,2.4621400294905205,NYCU-Seminar,-69,F4:2E:7F:D3:10:84
10.191,2.12631830030083,2.4621400294905205,Lab542,-73,A0:36:BC:0E:7A:B8
10.196,2.12631830030083,2.4621400294905205,DIRECT-79-HP M227f LaserJet,-74,4E:EB:BD:6F:EC:79
10.201,2.12631830030083,2.4621400294905205,BMELabIII,-74,14:DA:E9:80:B0:34
10.206,2.12631830030083,2.4621400294905205,DIRECT-3E-HP Color LJ 4303,-75,BE:0F:F3:F6:CA:3E
10.211,2.12631830030083,2.4621400294905205,NYCU-Seminar,-83,F4:2E:7F:D2:93:A4
10.309,2.12631830030083,2.4621400294905205,NYCU,-85,F4:2E:7F:D2:93:A2
10.316,2.12631830030083,2.4621400294905205,NYCU-Guest,-85,F4:2E:7F:D2:93:A3
10.322,2.12631830030083,2.4621400294905205,PM2.5_Setup_E4,-86,74:DA:38:C7:D3:E5
10.327,2.12631830030083,2.4621400294905205,LAB538,-90,08:BF:B8:65:2A:28
13.812,2.7168254484326533,2.6913512844994267,JacksoniPhone,-46,3E:CB:EC:CC:07:24
13.820,2.7168254484326533,2.6913512844994267,ASUS_A8_2G,-51,F0:2F:74:E2:C4:A8
13.825,2.7168254484326533,2.6913512844994267,RMS-10B1-AAS07,-56,9C:53:22:DD:7C:56
13.830,2.7168254484326533,2.6913512844994267,LAB334,-59,10:27:F5:E0:85:37
13.835,2.7168254484326533,2.6913512844994267,jerryma,-61,F2:1A:15:DC:E4:ED
13.840,2.7168254484326533,2.6913512844994267,DIRECT-34-HP M283 LaserJet,-62,AA:3B:76:CB:18:34
13.845,2.7168254484326533,2.6913512844994267,LAB337_EX(2.4G),-63,34:97:F6:A6:80:40
13.850,2.7168254484326533,2.6913512844994267,Andy,-64,06:90:08:27:28:40
13.855,2.7168254484326533,2.6913512844994267,BMELab,-67,AC:9E:17:79:CE:50
13.860,2.7168254484326533,2.6913512844994267,D-Link_DIR-612,-68,48:EE:0C:A9:21:B0
13.865,2.7168254484326533,2.6913512844994267,eduroam,-69,F4:2E:7F:D3:10:80
13.870,2.7168254484326533,2.6913512844994267,NYCU-Guest,-69,F4:2E:7F:D3:10:83
13.909,2.7168254484326533,2.6913512844994267,NYCU-Seminar,-69,F4:2E:7F:D3:10:84
13.917,2.7168254484326533,2.6913512844994267,NYCU,-70,F4:2E:7F:D3:10:82
13.923,2.7168254484326533,2.6913512844994267,BMELabIII,-70,14:DA:E9:80:B0:34
13.928,2.7168254484326533,2.6913512844994267,Lab542,-70,A0:36:BC:0E:7A:B8
13.934,2.7168254484326533,2.6913512844994267,DIRECT-3E-HP Color LJ 4303,-79,BE:0F:F3:F6:CA:3E
13.939,2.7168254484326533,2.6913512844994267,LAB335-1,-80,40:86:CB:DF:DB:C8
13.943,2.7168254484326533,2.6913512844994267,NYCU-Guest,-82,F4:2E:7F:D2:93:A3
