time_s,x,y,wifi_ssid,wifi_rssi,wifi_mac
4.622,3.60483534532033,9.186493621777846,DIRECT-34-HP M283 LaserJet,-46,AA:3B:76:CB:18:34
4.630,3.60483534532033,9.186493621777846,JacksoniPhone,-52,DA:9A:F3:00:FF:3E
4.635,3.60483534532033,9.186493621777846,ASUS_A8_2G,-55,F0:2F:74:E2:C4:A8
4.640,3.60483534532033,9.186493621777846,D-Link_DIR-612,-59,48:EE:0C:A9:21:B0
4.644,3.60483534532033,9.186493621777846,LAB337_EX(2.4G),-66,34:97:F6:A6:80:40
4.650,3.60483534532033,9.186493621777846,AIUVL,-69,10:7C:61:DA:BF:A6
4.655,3.60483534532033,9.186493621777846,BMELab,-69,AC:9E:17:79:CE:50
4.660,3.60483534532033,9.186493621777846,LAB335-1,-70,40:86:CB:DF:DB:C8
4.665,3.60483534532033,9.186493621777846,NYCU,-71,F4:2E:7F:D3:10:82
4.669,3.60483534532033,9.186493621777846,NYCU-Seminar,-71,F4:2E:7F:D3:10:84
4.674,3.60483534532033,9.186493621777846,BMELabIII,-71,14:DA:E9:80:B0:34
4.679,3.60483534532033,9.186493621777846,eduroam,-72,F4:2E:7F:D3:10:80
4.684,3.60483534532033,9.186493621777846,NYCU-Guest,-72,F4:2E:7F:D3:10:83
4.689,3.60483534532033,9.186493621777846,LAB334,-76,10:27:F5:E0:85:37
4.694,3.60483534532033,9.186493621777846,APL_ASUS,-76,10:C3:7B:C5:F8:00
4.699,3.60483534532033,9.186493621777846,Lab542,-76,A0:36:BC:0E:7A:B8
4.704,3.60483534532033,9.186493621777846,DIRECT-c1-HP M141 LaserJet,-77,5E:60:BA:43:7D:C1
4.709,3.60483534532033,9.186493621777846,DIRECT-3E-HP Color LJ 4303,-77,BE:0F:F3:F6:CA:3E
4.714,3.60483534532033,9.186493621777846,eduroam,-78,F4:2E:7F:D2:93:A0
4.718,3.60483534532033,9.186493621777846,NYCU,-79,F4:2E:7F:D2:93:A2
4.723,3.60483534532033,9.186493621777846,NYCU-Guest,-79,F4:2E:7F:D2:93:A3
4.728,3.60483534532033,9.186493621777846,NYCU-Seminar,-79,F4:2E:7F:D2:93:A4
4.733,3.60483534532033,9.186493621777846,DIRECT-524ABFA7,-80,3A:1A:52:4A:3F:A7
4.738,3.60483534532033,9.186493621777846,PM2.5_Setup_E4,-82,74:DA:38:C7:D3:E5
