time_s,x,y,wifi_ssid,wifi_rssi,wifi_mac
3.980,-2.7322187614878226,10.079792330529413,JacksoniPhone,-40,3E:CB:EC:CC:07:24
3.988,-2.7322187614878226,10.079792330529413,LAB337_EX(2.4G),-51,34:97:F6:A6:80:40
3.993,-2.7322187614878226,10.079792330529413,DIRECT-34-HP M283 LaserJet,-54,AA:3B:76:CB:18:34
3.998,-2.7322187614878226,10.079792330529413,jerryma,-58,F2:1A:15:DC:E4:ED
4.008,-2.7322187614878226,10.079792330529413,NYCU-Seminar,-58,F4:2E:7F:D3:10:84
4.013,-2.7322187614878226,10.079792330529413,eduroam,-62,F4:2E:7F:D3:10:80
4.018,-2.7322187614878226,10.079792330529413,NYCU,-62,F4:2E:7F:D3:10:82
4.023,-2.7322187614878226,10.079792330529413,NYCU-Guest,-62,F4:2E:7F:D3:10:83
4.028,-2.7322187614878226,10.079792330529413,Andy,-64,06:90:08:27:28:40
4.033,-2.7322187614878226,10.079792330529413,D-Link_DIR-612,-67,48:EE:0C:A9:21:B0
4.037,-2.7322187614878226,10.079792330529413,BMELabIII,-73,14:DA:E9:80:B0:34
4.042,-2.7322187614878226,10.079792330529413,DIRECT-79-HP M227f LaserJet,-76,4E:EB:BD:6F:EC:79
4.047,-2.7322187614878226,10.079792330529413,DIRECT-3E-HP Color LJ 4303,-76,BE:0F:F3:F6:CA:3E
4.052,-2.7322187614878226,10.079792330529413,ARA_Public,-85,DA:5F:E5:C9:A6:52
4.058,-2.7322187614878226,10.079792330529413,JacksoniPhone,-37,3E:CB:EC:CC:07:24
4.064,-2.7322187614878226,10.079792330529413,LAB337_EX(2.4G),-50,34:97:F6:A6:80:40
4.069,-2.7322187614878226,10.079792330529413,D-Link_DIR-612,-58,48:EE:0C:A9:21:B0
4.074,-2.7322187614878226,10.079792330529413,jerryma,-58,F2:1A:15:DC:E4:ED
4.079,-2.7322187614878226,10.079792330529413,DIRECT-34-HP M283 LaserJet,-58,AA:3B:76:CB:18:34
4.084,-2.7322187614878226,10.079792330529413,Andy,-60,06:90:08:27:28:40
4.089,-2.7322187614878226,10.079792330529413,NYCU-Seminar,-63,F4:2E:7F:D3:10:84
4.093,-2.7322187614878226,10.079792330529413,NYCU,-66,F4:2E:7F:D3:10:82
4.098,-2.7322187614878226,10.079792330529413,DIRECT-79-HP M227f LaserJet,-66,4E:EB:BD:6F:EC:79
4.103,-2.7322187614878226,10.079792330529413,LAB334,-68,10:27:F5:E0:85:37
4.108,-2.7322187614878226,10.079792330529413,NYCU-Guest,-71,F4:2E:7F:D2:93:A3
6.778,-2.7322187614878226,10.079792330529413,JacksoniPhone,-34,3E:CB:EC:CC:07:24
6.786,-2.7322187614878226,10.079792330529413,LAB337_EX(2.4G),-49,34:97:F6:A6:80:40
6.792,-2.7322187614878226,10.079792330529413,BMELabIII,-55,14:DA:E9:80:B0:34
6.799,-2.7322187614878226,10.079792330529413,NYCU-Seminar,-56,F4:2E:7F:D3:10:84
6.807,-2.7322187614878226,10.079792330529413,DIRECT-34-HP M283 LaserJet,-57,AA:3B:76:CB:18:34
6.815,-2.7322187614878226,10.079792330529413,D-Link_DIR-612,-58,48:EE:0C:A9:21:B0
6.823,-2.7322187614878226,10.079792330529413,jerryma,-58,F2:1A:15:DC:E4:ED
6.830,-2.7322187614878226,10.079792330529413,NYCU,-59,F4:2E:7F:D3:10:82
6.836,-2.7322187614878226,10.079792330529413,ASUS_A8_2G,-60,F0:2F:74:E2:C4:A8
6.843,-2.7322187614878226,10.079792330529413,Andy,-61,06:90:08:27:28:40
6.849,-2.7322187614878226,10.079792330529413,DIRECT-79-HP M227f LaserJet,-66,4E:EB:BD:6F:EC:79
