time_s,x,y,wifi_ssid,wifi_rssi,wifi_mac
3.809,-1.468302464379507,13.105277076116408,DIRECT-34-HP M283 LaserJet,-51,AA:3B:76:CB:18:34
3.814,-1.468302464379507,13.105277076116408,D-Link_DIR-612,-54,48:EE:0C:A9:21:B0
3.819,-1.468302464379507,13.105277076116408,ASUS_A8_2G,-59,F0:2F:74:E2:C4:A8
3.825,-1.468302464379507,13.105277076116408,JacksoniPhone,-62,DA:9A:F3:00:FF:3E
3.830,-1.468302464379507,13.105277076116408,LAB337_EX(2.4G),-62,34:97:F6:A6:80:40
3.835,-1.468302464379507,13.105277076116408,LAB334,-71,10:27:F5:E0:85:37
3.840,-1.468302464379507,13.105277076116408,BMELab,-71,AC:9E:17:79:CE:50
3.845,-1.468302464379507,13.105277076116408,APL_ASUS,-73,10:C3:7B:C5:F8:00
3.851,-1.468302464379507,13.105277076116408,eduroam,-74,F4:2E:7F:D3:10:80
3.856,-1.468302464379507,13.105277076116408,NYCU,-74,F4:2E:7F:D3:10:82
3.862,-1.468302464379507,13.105277076116408,NYCU-Seminar,-74,F4:2E:7F:D3:10:84
3.867,-1.468302464379507,13.105277076116408,NYCU-Guest,-75,F4:2E:7F:D3:10:83
3.872,-1.468302464379507,13.105277076116408,BMELabIII,-77,14:DA:E9:80:B0:34
3.877,-1.468302464379507,13.105277076116408,DIRECT-c1-HP M141 LaserJet,-78,5E:60:BA:43:7D:C1
3.882,-1.468302464379507,13.105277076116408,WYTN_RD-LAB,-82,A8:5E:45:9A:82:60
3.887,-1.468302464379507,13.105277076116408,NYCU-Seminar,-83,F4:2E:7F:D2:93:A4
3.892,-1.468302464379507,13.105277076116408,NYCU,-85,F4:2E:7F:D2:93:A2
3.898,-1.468302464379507,13.105277076116408,PM2.5_Setup_E4,-86,74:DA:38:C7:D3:E5
3.903,-1.468302464379507,13.105277076116408,.1.Free Wi-Fi,-88,10:62:EB:C4:48:23
3.908,-1.468302464379507,13.105277076116408,Lab542,-90,A0:36:BC:0E:7A:B8
3.913,-1.468302464379507,13.105277076116408,arai,-90,DA:5F:E5:C9:A6:51
3.918,-1.468302464379507,13.105277076116408,ARA_Public,-90,DA:5F:E5:C9:A6:52
3.923,-1.468302464379507,13.105277076116408,arai2,-94,DA:5F:E5:C9:A6:50
4.809,-1.468302464379507,13.105277076116408,DIRECT-34-HP M283 LaserJet,-54,AA:3B:76:CB:18:34
4.816,-1.468302464379507,13.105277076116408,JacksoniPhone,-59,DA:9A:F3:00:FF:3E
4.821,-1.468302464379507,13.105277076116408,BMELabIII,-66,14:DA:E9:80:B0:34
4.826,-1.468302464379507,13.105277076116408,NYCU-Seminar,-76,F4:2E:7F:D3:10:84
4.831,-1.468302464379507,13.105277076116408,eduroam,-79,F4:2E:7F:D3:10:80
4.836,-1.468302464379507,13.105277076116408,NYCU,-79,F4:2E:7F:D3:10:82
4.841,-1.468302464379507,13.105277076116408,NYCU-Guest,-79,F4:2E:7F:D3:10:83
4.846,-1.468302464379507,13.105277076116408,NYCU-Guest,-85,F4:2E:7F:D2:93:A3
4.851,-1.468302464379507,13.105277076116408,NYCU,-86,F4:2E:7F:D2:93:A2
4.856,-1.468302464379507,13.105277076116408,NYCU-Seminar,-87,F4:2E:7F:D2:93:A4
4.908,-1.468302464379507,13.105277076116408,NYCU,-91,F4:2E:7F:D4:D4:02
7.711,-1.5104196603926363,13.195227673785354,ASUS_A8_2G,-49,F0:2F:74:E2:C4:A8
7.719,-1.5104196603926363,13.195227673785354,DIRECT-34-HP M283 LaserJet,-52,AA:3B:76:CB:18:34
7.724,-1.5104196603926363,13.195227673785354,JacksoniPhone,-52,DA:9A:F3:00:FF:3E
7.729,-1.5104196603926363,13.195227673785354,DIRECT-3E-HP Color LJ 4303,-79,BE:0F:F3:F6:CA:3E
7.735,-1.5104196603926363,13.195227673785354,BMELabIII,-80,14:DA:E9:80:B0:34
10.714,-1.5017963628009239,13.358237287355832,DIRECT-34-HP M283 LaserJet,-52,AA:3B:76:CB:18:34
10.724,-1.5017963628009239,13.358237287355832,JacksoniPhone,-55,DA:9A:F3:00:FF:3E
10.731,-1.5017963628009239,13.358237287355832,D-Link_DIR-612,-59,48:EE:0C:A9:21:B0
10.736,-1.5017963628009239,13.358237287355832,eduroam,-70,F4:2E:7F:D3:10:80
10.742,-1.5017963628009239,13.358237287355832,NYCU,-70,F4:2E:7F:D3:10:82
10.750,-1.5017963628009239,13.358237287355832,NYCU-Guest,-70,F4:2E:7F:D3:10:83
10.756,-1.5017963628009239,13.358237287355832,NYCU-Seminar,-71,F4:2E:7F:D3:10:84
10.762,-1.5017963628009239,13.358237287355832,BMELab,-73,AC:9E:17:79:CE:50
10.769,-1.5017963628009239,13.358237287355832,BMELabIII,-74,14:DA:E9:80:B0:34
10.776,-1.5017963628009239,13.358237287355832,NYCU,-81,F4:2E:7F:D2:93:A2
10.788,-1.5017963628009239,13.358237287355832,eduroam,-82,F4:2E:7F:D2:93:A0
10.795,-1.5017963628009239,13.358237287355832,PM2.5_Setup_E4,-83,74:DA:38:C7:D3:E5
13.810,-1.3967749440081183,13.585321007936063,DIRECT-34-HP M283 LaserJet,-50,AA:3B:76:CB:18:34
13.818,-1.3967749440081183,13.585321007936063,LAB337_EX(2.4G),-53,34:97:F6:A6:80:40
13.826,-1.3967749440081183,13.585321007936063,JacksoniPhone,-55,DA:9A:F3:00:FF:3E
13.831,-1.3967749440081183,13.585321007936063,ASUS_A8_2G,-56,F0:2F:74:E2:C4:A8
13.836,-1.3967749440081183,13.585321007936063,D-Link_DIR-612,-57,48:EE:0C:A9:21:B0
13.907,-1.3967749440081183,13.585321007936063,NYCU,-66,F4:2E:7F:D3:10:82
13.915,-1.3967749440081183,13.585321007936063,NYCU-Guest,-66,F4:2E:7F:D3:10:83
13.922,-1.3967749440081183,13.585321007936063,NYCU-Seminar,-66,F4:2E:7F:D3:10:84
13.927,-1.3967749440081183,13.585321007936063,eduroam,-69,F4:2E:7F:D3:10:80
13.932,-1.3967749440081183,13.585321007936063,BMELab,-73,AC:9E:17:79:CE:50
13.938,-1.3967749440081183,13.585321007936063,BMELabIII,-76,14:DA:E9:80:B0:34
13.943,-1.3967749440081183,13.585321007936063,PM2.5_Setup_E4,-83,74:DA:38:C7:D3:E5
13.948,-1.3967749440081183,13.585321007936063,DIRECT-3E-HP Color LJ 4303,-89,BE:0F:F3:F6:CA:3E
17.010,-1.3967749440081183,13.585321007936063,JacksoniPhone,-49,DA:9A:F3:00:FF:3E
17.017,-1.3967749440081183,13.585321007936063,ASUS_A8_2G,-56,F0:2F:74:E2:C4:A8
17.023,-1.3967749440081183,13.585321007936063,DIRECT-34-HP M283 LaserJet,-57,AA:3B:76:CB:18:34
17.028,-1.3967749440081183,13.585321007936063,eduroam,-70,F4:2E:7F:D3:10:80
17.034,-1.3967749440081183,13.585321007936063,NYCU,-70,F4:2E:7F:D3:10:82
17.039,-1.3967749440081183,13.585321007936063,NYCU-Guest,-70,F4:2E:7F:D3:10:83
17.044,-1.3967749440081183,13.585321007936063,NYCU-Seminar,-70,F4:2E:7F:D3:10:84
17.049,-1.3967749440081183,13.585321007936063,BMELabIII,-72,14:DA:E9:80:B0:34
17.054,-1.3967749440081183,13.585321007936063,NYCU,-82,F4:2E:7F:D2:93:A2
17.058,-1.3967749440081183,13.585321007936063,DIRECT-3E-HP Color LJ 4303,-82,BE:0F:F3:F6:CA:3E
17.063,-1.3967749440081183,13.585321007936063,PM2.5_Setup_E4,-84,74:DA:38:C7:D3:E5
20.110,-0.474507126904809,13.68134808077049,DIRECT-34-HP M283 LaserJet,-53,AA:3B:76:CB:18:34
20.118,-0.474507126904809,13.68134808077049,ASUS_A8_2G,-54,F0:2F:74:E2:C4:A8
20.124,-0.474507126904809,13.68134808077049,JacksoniPhone,-60,DA:9A:F3:00:FF:3E
20.129,-0.474507126904809,13.68134808077049,BMELabIII,-62,14:DA:E9:80:B0:34
20.136,-0.474507126904809,13.68134808077049,eduroam,-71,F4:2E:7F:D3:10:80
20.142,-0.474507126904809,13.68134808077049,BMELab,-77,AC:9E:17:79:CE:50
20.147,-0.474507126904809,13.68134808077049,DIRECT-3E-HP Color LJ 4303,-85,BE:0F:F3:F6:CA:3E
23.211,0.14892275894015533,13.725475896736208,JacksoniPhone,-48,DA:9A:F3:00:FF:3E
23.220,0.14892275894015533,13.725475896736208,DIRECT-34-HP M283 LaserJet,-52,AA:3B:76:CB:18:34
23.226,0.14892275894015533,13.725475896736208,D-Link_DIR-612,-58,48:EE:0C:A9:21:B0
23.231,0.14892275894015533,13.725475896736208,ASUS_A8_2G,-59,F0:2F:74:E2:C4:A8
23.237,0.14892275894015533,13.725475896736208,BMELabIII,-72,14:DA:E9:80:B0:34
23.241,0.14892275894015533,13.725475896736208,NYCU-Seminar,-74,F4:2E:7F:D3:10:84
23.247,0.14892275894015533,13.725475896736208,NYCU-Guest,-75,F4:2E:7F:D3:10:83
23.252,0.14892275894015533,13.725475896736208,NYCU,-76,F4:2E:7F:D3:10:82
23.257,0.14892275894015533,13.725475896736208,NYCU,-78,F4:2E:7F:D2:93:A2
23.262,0.14892275894015533,13.725475896736208,NYCU-Guest,-78,F4:2E:7F:D2:93:A3
23.267,0.14892275894015533,13.725475896736208,NYCU-Seminar,-78,F4:2E:7F:D2:93:A4
23.272,0.14892275894015533,13.725475896736208,BMELab,-79,AC:9E:17:79:CE:50
26.308,0.6590123348218945,13.75033367712261,DIRECT-34-HP M283 LaserJet,-51,AA:3B:76:CB:18:34
26.313,0.6590123348218945,13.75033367712261,JacksoniPhone,-54,DA:9A:F3:00:FF:3E
26.319,0.6590123348218945,13.75033367712261,ASUS_A8_2G,-60,F0:2F:74:E2:C4:A8
26.323,0.6590123348218945,13.75033367712261,WYTN_RD-LAB,-72,A8:5E:45:9A:82:60
26.328,0.6590123348218945,13.75033367712261,NYCU-Guest,-75,F4:2E:7F:D2:93:A3
26.333,0.6590123348218945,13.75033367712261,NYCU-Seminar,-75,F4:2E:7F:D2:93:A4
26.338,0.6590123348218945,13.75033367712261,NYCU,-77,F4:2E:7F:D2:93:A2
26.343,0.6590123348218945,13.75033367712261,eduroam,-79,F4:2E:7F:D2:93:A0
29.410,1.2708302006348249,13.716390255170609,JacksoniPhone,-52,DA:9A:F3:00:FF:3E
29.417,1.2708302006348249,13.716390255170609,DIRECT-34-HP M283 LaserJet,-53,AA:3B:76:CB:18:34
29.423,1.2708302006348249,13.716390255170609,D-Link_DIR-612,-59,48:EE:0C:A9:21:B0
29.429,1.2708302006348249,13.716390255170609,ASUS_A8_2G,-59,F0:2F:74:E2:C4:A8
29.434,1.2708302006348249,13.716390255170609,BMELabIII,-63,14:DA:E9:80:B0:34
29.440,1.2708302006348249,13.716390255170609,BMELab,-66,AC:9E:17:79:CE:50
29.445,1.2708302006348249,13.716390255170609,NYCU-Seminar,-71,F4:2E:7F:D3:10:84
29.450,1.2708302006348249,13.716390255170609,NYCU,-73,F4:2E:7F:D3:10:82
29.455,1.2708302006348249,13.716390255170609,NYCU,-79,F4:2E:7F:D2:93:A2
29.460,1.2708302006348249,13.716390255170609,eduroam,-80,F4:2E:7F:D2:93:A0
29.465,1.2708302006348249,13.716390255170609,NYCU-Guest,-82,F4:2E:7F:D2:93:A3
29.470,1.2708302006348249,13.716390255170609,NYCU,-87,F4:2E:7F:D4:D4:02
29.475,1.2708302006348249,13.716390255170609,ARA_Public,-89,DA:5F:E5:C9:A6:52
32.511,1.7357225569597965,13.408498394960366,D-Link_DIR-612,-51,48:EE:0C:A9:21:B0
32.520,1.7357225569597965,13.408498394960366,ASUS_A8_2G,-51,F0:2F:74:E2:C4:A8
32.526,1.7357225569597965,13.408498394960366,DIRECT-34-HP M283 LaserJet,-55,AA:3B:76:CB:18:34
32.531,1.7357225569597965,13.408498394960366,JacksoniPhone,-59,DA:9A:F3:00:FF:3E
32.536,1.7357225569597965,13.408498394960366,BMELabIII,-66,14:DA:E9:80:B0:34
32.541,1.7357225569597965,13.408498394960366,eduroam,-68,F4:2E:7F:D3:10:80
32.546,1.7357225569597965,13.408498394960366,NYCU,-68,F4:2E:7F:D3:10:82
32.551,1.7357225569597965,13.408498394960366,NYCU-Guest,-68,F4:2E:7F:D3:10:83
32.556,1.7357225569597965,13.408498394960366,NYCU-Seminar,-68,F4:2E:7F:D3:10:84
32.561,1.7357225569597965,13.408498394960366,BMELab,-78,AC:9E:17:79:CE:50
32.566,1.7357225569597965,13.408498394960366,NYCU-Seminar,-80,F4:2E:7F:D2:93:A4
32.571,1.7357225569597965,13.408498394960366,arai,-83,DA:5F:E5:C9:A6:51
32.576,1.7357225569597965,13.408498394960366,DIRECT-3E-HP Color LJ 4303,-84,BE:0F:F3:F6:CA:3E
32.581,1.7357225569597965,13.408498394960366,ARA_Public,-87,DA:5F:E5:C9:A6:52
35.609,2.157684408646479,12.858759563000678,D-Link_DIR-612,-54,48:EE:0C:A9:21:B0
35.615,2.157684408646479,12.858759563000678,DIRECT-34-HP M283 LaserJet,-54,AA:3B:76:CB:18:34
35.621,2.157684408646479,12.858759563000678,ASUS_A8_2G,-55,F0:2F:74:E2:C4:A8
35.626,2.157684408646479,12.858759563000678,LAB337_EX(2.4G),-57,34:97:F6:A6:80:40
35.631,2.157684408646479,12.858759563000678,JacksoniPhone,-58,DA:9A:F3:00:FF:3E
35.635,2.157684408646479,12.858759563000678,NYCU-Guest,-72,F4:2E:7F:D3:10:83
35.708,2.157684408646479,12.858759563000678,BMELab,-72,AC:9E:17:79:CE:50
35.714,2.157684408646479,12.858759563000678,eduroam,-73,F4:2E:7F:D3:10:80
35.720,2.157684408646479,12.858759563000678,NYCU,-73,F4:2E:7F:D3:10:82
35.726,2.157684408646479,12.858759563000678,NYCU-Seminar,-73,F4:2E:7F:D3:10:84
35.730,2.157684408646479,12.858759563000678,NYCU,-77,F4:2E:7F:D2:93:A2
35.735,2.157684408646479,12.858759563000678,NYCU-Guest,-77,F4:2E:7F:D2:93:A3
35.740,2.157684408646479,12.858759563000678,BMELabIII,-79,14:DA:E9:80:B0:34
35.746,2.157684408646479,12.858759563000678,eduroam,-80,F4:2E:7F:D2:93:A0
35.751,2.157684408646479,12.858759563000678,DIRECT-3E-HP Color LJ 4303,-80,BE:0F:F3:F6:CA:3E
35.756,2.157684408646479,12.858759563000678,NYCU-Seminar,-81,F4:2E:7F:D2:93:A4
35.761,2.157684408646479,12.858759563000678,arai2,-84,DA:5F:E5:C9:A6:50
35.767,2.157684408646479,12.858759563000678,LAB539,-85,08:BF:B8:67:9F:B0
35.772,2.157684408646479,12.858759563000678,ARA_Public,-86,DA:5F:E5:C9:A6:52
35.778,2.157684408646479,12.858759563000678,arai,-86,DA:5F:E5:C9:A6:51
35.807,2.157684408646479,12.858759563000678,arai2,-87,DA:E3:E5:C9:A9:E4
38.809,2.3104487333536308,12.617056827758239,D-Link_DIR-612,-44,48:EE:0C:A9:21:B0
38.816,2.3104487333536308,12.617056827758239,JacksoniPhone,-45,DA:9A:F3:00:FF:3E
38.822,2.3104487333536308,12.617056827758239,ASUS_A8_2G,-49,F0:2F:74:E2:C4:A8
38.828,2.3104487333536308,12.617056827758239,DIRECT-34-HP M283 LaserJet,-57,AA:3B:76:CB:18:34
38.907,2.3104487333536308,12.617056827758239,eduroam,-64,F4:2E:7F:D3:10:80
38.915,2.3104487333536308,12.617056827758239,NYCU-Guest,-64,F4:2E:7F:D3:10:83
38.921,2.3104487333536308,12.617056827758239,WYTN_RD-LAB,-71,A8:5E:45:9A:82:60
38.926,2.3104487333536308,12.617056827758239,NYCU,-73,F4:2E:7F:D3:10:82
38.932,2.3104487333536308,12.617056827758239,NYCU-Seminar,-73,F4:2E:7F:D3:10:84
38.937,2.3104487333536308,12.617056827758239,NYCU,-82,F4:2E:7F:D2:93:A2
38.942,2.3104487333536308,12.617056827758239,eduroam,-83,F4:2E:7F:D2:93:A0
38.948,2.3104487333536308,12.617056827758239,NYCU-Guest,-83,F4:2E:7F:D2:93:A3
38.954,2.3104487333536308,12.617056827758239,NYCU-Seminar,-84,F4:2E:7F:D2:93:A4
42.010,2.374958062055791,12.144860614437379,JacksoniPhone,-46,DA:9A:F3:00:FF:3E
42.020,2.374958062055791,12.144860614437379,D-Link_DIR-612,-50,48:EE:0C:A9:21:B0
42.029,2.374958062055791,12.144860614437379,DIRECT-34-HP M283 LaserJet,-54,AA:3B:76:CB:18:34
42.037,2.374958062055791,12.144860614437379,BMELabIII,-65,14:DA:E9:80:B0:34
42.045,2.374958062055791,12.144860614437379,eduroam,-68,F4:2E:7F:D3:10:80
42.052,2.374958062055791,12.144860614437379,NYCU,-68,F4:2E:7F:D3:10:82
42.060,2.374958062055791,12.144860614437379,NYCU-Guest,-68,F4:2E:7F:D3:10:83
42.068,2.374958062055791,12.144860614437379,NYCU-Seminar,-68,F4:2E:7F:D3:10:84
42.077,2.374958062055791,12.144860614437379,WYTN_RD-LAB,-73,A8:5E:45:9A:82:60
