time_s,x,y,wifi_ssid,wifi_rssi,wifi_mac
4.713,2.6113768548241967,12.407419222244666,eduroam,-70,F4:2E:7F:D3:10:80
4.724,2.6113768548241967,12.407419222244666,D-Link_DIR-612,-52,48:EE:0C:A9:21:B0
4.729,2.6113768548241967,12.407419222244666,JacksoniPhone,-52,DA:9A:F3:00:FF:3E
4.734,2.6113768548241967,12.407419222244666,ASUS_A8_2G,-55,F0:2F:74:E2:C4:A8
4.739,2.6113768548241967,12.407419222244666,DIRECT-34-HP M283 LaserJet,-58,AA:3B:76:CB:18:34
4.744,2.6113768548241967,12.407419222244666,LAB337_EX(2.4G),-59,34:97:F6:A6:80:40
4.749,2.6113768548241967,12.407419222244666,BMELabIII,-63,14:DA:E9:80:B0:34
4.754,2.6113768548241967,12.407419222244666,LAB334,-69,10:27:F5:E0:85:37
4.759,2.6113768548241967,12.407419222244666,BMELab,-70,AC:9E:17:79:CE:50
4.764,2.6113768548241967,12.407419222244666,eduroam,-71,F4:2E:7F:D3:10:80
4.768,2.6113768548241967,12.407419222244666,AIUVL,-71,10:7C:61:DA:BF:A6
4.773,2.6113768548241967,12.407419222244666,NYCU-Seminar,-72,F4:2E:7F:D3:10:84
4.778,2.6113768548241967,12.407419222244666,APL_ASUS,-72,10:C3:7B:C5:F8:00
4.783,2.6113768548241967,12.407419222244666,NYCU,-73,F4:2E:7F:D3:10:82
4.788,2.6113768548241967,12.407419222244666,NYCU-Guest,-73,F4:2E:7F:D3:10:83
4.793,2.6113768548241967,12.407419222244666,LAB335-1,-81,40:86:CB:DF:DB:C8
4.798,2.6113768548241967,12.407419222244666,Lab542,-83,A0:36:BC:0E:7A:B8
4.804,2.6113768548241967,12.407419222244666,WYTN_RD-LAB,-84,A8:5E:45:9A:82:60
4.810,2.6113768548241967,12.407419222244666,DIRECT-3E-HP Color LJ 4303,-84,BE:0F:F3:F6:CA:3E
4.815,2.6113768548241967,12.407419222244666,DIRECT-524ABFA7,-86,3A:1A:52:4A:3F:A7
4.820,2.6113768548241967,12.407419222244666,NYCU,-87,F4:2E:7F:D2:93:A2
4.825,2.6113768548241967,12.407419222244666,NYCU-Guest,-87,F4:2E:7F:D2:93:A3
4.830,2.6113768548241967,12.407419222244666,NYCU-Seminar,-87,F4:2E:7F:D2:93:A4
4.834,2.6113768548241967,12.407419222244666,WYTN_RD-Meeting,-88,A8:5E:45:9A:73:80
4.839,2.6113768548241967,12.407419222244666,LAB539,-88,08:BF:B8:67:9F:B0
4.844,2.6113768548241967,12.407419222244666,CHT Wi-Fi(HiNet),-90,1C:5F:2B:25:10:01
4.850,2.6113768548241967,12.407419222244666,ARA_Public,-91,DA:E3:E5:C9:A9:E7
4.855,2.6113768548241967,12.407419222244666,PM2.5_Setup_E4,-93,74:DA:38:C7:D3:E5
4.861,2.6113768548241967,12.407419222244666,ASUS_A8_2G,-54,F0:2F:74:E2:C4:A8
4.866,2.6113768548241967,12.407419222244666,LAB337_EX(2.4G),-55,34:97:F6:A6:80:40
4.871,2.6113768548241967,12.407419222244666,D-Link_DIR-612,-58,48:EE:0C:A9:21:B0
4.876,2.6113768548241967,12.407419222244666,JacksoniPhone,-58,DA:9A:F3:00:FF:3E
4.881,2.6113768548241967,12.407419222244666,DIRECT-34-HP M283 LaserJet,-63,AA:3B:76:CB:18:34
4.887,2.6113768548241967,12.407419222244666,BMELabIII,-67,14:DA:E9:80:B0:34
4.891,2.6113768548241967,12.407419222244666,LAB334,-68,10:27:F5:E0:85:37
4.896,2.6113768548241967,12.407419222244666,AIUVL,-70,10:7C:61:DA:BF:A6
4.901,2.6113768548241967,12.407419222244666,eduroam,-72,F4:2E:7F:D3:10:80
4.906,2.6113768548241967,12.407419222244666,APL_ASUS,-72,10:C3:7B:C5:F8:00
4.911,2.6113768548241967,12.407419222244666,NYCU,-74,F4:2E:7F:D3:10:82
4.915,2.6113768548241967,12.407419222244666,NYCU-Guest,-74,F4:2E:7F:D3:10:83
4.920,2.6113768548241967,12.407419222244666,NYCU-Seminar,-74,F4:2E:7F:D3:10:84
4.925,2.6113768548241967,12.407419222244666,NYCU,-83,F4:2E:7F:D2:93:A2
4.930,2.6113768548241967,12.407419222244666,NYCU-Seminar,-84,F4:2E:7F:D2:93:A4
4.934,2.6113768548241967,12.407419222244666,DIRECT-c1-HP M141 LaserJet,-84,5E:60:BA:43:7D:C1
4.939,2.6113768548241967,12.407419222244666,DIRECT-524ABFA7,-84,3A:1A:52:4A:3F:A7
4.944,2.6113768548241967,12.407419222244666,Lab542,-84,A0:36:BC:0E:7A:B8
4.949,2.6113768548241967,12.407419222244666,eduroam,-85,F4:2E:7F:D2:93:A0
4.954,2.6113768548241967,12.407419222244666,WYTN_RD-LAB,-86,A8:5E:45:9A:82:60
4.959,2.6113768548241967,12.407419222244666,DIRECT-21-HP M148 LaserJet,-88,4E:EB:BD:6F:E7:21
4.963,2.6113768548241967,12.407419222244666,CHT Wi-Fi(HiNet),-91,1C:5F:2B:25:10:01
4.968,2.6113768548241967,12.407419222244666,chen516-3,-92,C4:12:F5:7B:ED:A2
8.410,2.6109015845836776,12.097058331682307,LAB337_EX(2.4G),-52,34:97:F6:A6:80:40
8.416,2.6109015845836776,12.097058331682307,ASUS_A8_2G,-55,F0:2F:74:E2:C4:A8
8.422,2.6109015845836776,12.097058331682307,JacksoniPhone,-57,DA:9A:F3:00:FF:3E
8.426,2.6109015845836776,12.097058331682307,D-Link_DIR-612,-58,48:EE:0C:A9:21:B0
8.431,2.6109015845836776,12.097058331682307,DIRECT-34-HP M283 LaserJet,-61,AA:3B:76:CB:18:34
8.436,2.6109015845836776,12.097058331682307,NYCU,-63,F4:2E:7F:D3:10:82
8.441,2.6109015845836776,12.097058331682307,eduroam,-63,F4:2E:7F:D3:10:80
8.445,2.6109015845836776,12.097058331682307,NYCU-Seminar,-63,F4:2E:7F:D3:10:84
8.450,2.6109015845836776,12.097058331682307,NYCU-Guest,-64,F4:2E:7F:D3:10:83
8.455,2.6109015845836776,12.097058331682307,BMELabIII,-64,14:DA:E9:80:B0:34
8.460,2.6109015845836776,12.097058331682307,APL_ASUS,-66,10:C3:7B:C5:F8:00
8.465,2.6109015845836776,12.097058331682307,LAB334,-67,10:27:F5:E0:85:37
8.469,2.6109015845836776,12.097058331682307,AIUVL,-69,10:7C:61:DA:BF:A6
8.474,2.6109015845836776,12.097058331682307,BMELab,-73,AC:9E:17:79:CE:50
8.479,2.6109015845836776,12.097058331682307,NYCU,-77,F4:2E:7F:D2:93:A2
8.484,2.6109015845836776,12.097058331682307,WYTN_RD-LAB,-77,A8:5E:45:9A:82:60
8.489,2.6109015845836776,12.097058331682307,NYCU-Seminar,-79,F4:2E:7F:D2:93:A4
8.494,2.6109015845836776,12.097058331682307,eduroam,-80,F4:2E:7F:D2:93:A0
8.499,2.6109015845836776,12.097058331682307,PM2.5_Setup_E4,-81,74:DA:38:C7:D3:E5
8.609,2.6109015845836776,12.097058331682307,NYCU-Guest,-83,F4:2E:7F:D2:93:A3
8.618,2.6109015845836776,12.097058331682307,312,-83,08:BF:B8:7A:DD:08
8.623,2.6109015845836776,12.097058331682307,arai2,-86,DA:5F:E5:C9:A6:50
8.627,2.6109015845836776,12.097058331682307,DIRECT-21-HP M148 LaserJet,-87,4E:EB:BD:6F:E7:21
8.632,2.6109015845836776,12.097058331682307,DIRECT-524ABFA7,-87,3A:1A:52:4A:3F:A7
8.637,2.6109015845836776,12.097058331682307,ARA_Public,-88,DA:5F:E5:C9:A6:52
8.642,2.6109015845836776,12.097058331682307,arai,-89,DA:5F:E5:C9:A6:51
8.646,2.6109015845836776,12.097058331682307,CHT Wi-Fi(HiNet),-92,1C:5F:2B:25:10:01
12.610,2.6179459689726596,11.320336421266651,D-Link_DIR-612,-47,48:EE:0C:A9:21:B0
12.616,2.6179459689726596,11.320336421266651,DIRECT-34-HP M283 LaserJet,-55,AA:3B:76:CB:18:34
12.622,2.6179459689726596,11.320336421266651,ASUS_A8_2G,-55,F0:2F:74:E2:C4:A8
12.627,2.6179459689726596,11.320336421266651,JacksoniPhone,-64,DA:9A:F3:00:FF:3E
12.632,2.6179459689726596,11.320336421266651,eduroam,-65,F4:2E:7F:D3:10:80
12.709,2.6179459689726596,11.320336421266651,NYCU,-65,F4:2E:7F:D3:10:82
12.717,2.6179459689726596,11.320336421266651,NYCU-Guest,-66,F4:2E:7F:D3:10:83
12.722,2.6179459689726596,11.320336421266651,NYCU-Seminar,-66,F4:2E:7F:D3:10:84
12.727,2.6179459689726596,11.320336421266651,AIUVL,-66,10:7C:61:DA:BF:A6
12.732,2.6179459689726596,11.320336421266651,LAB334,-69,10:27:F5:E0:85:37
12.736,2.6179459689726596,11.320336421266651,APL_ASUS,-70,10:C3:7B:C5:F8:00
12.741,2.6179459689726596,11.320336421266651,BMELabIII,-70,14:DA:E9:80:B0:34
12.746,2.6179459689726596,11.320336421266651,LAB337_EX(2.4G),-70,34:97:F6:A6:80:40
12.751,2.6179459689726596,11.320336421266651,BMELab,-71,AC:9E:17:79:CE:50
12.756,2.6179459689726596,11.320336421266651,NYCU,-75,F4:2E:7F:D2:93:A2
