time_s,x,y,wifi_ssid,wifi_rssi,wifi_mac
5.206,1.2156704820514743,-0.3256987449595928,ASUS_A8_2G,-50,F0:2F:74:E2:C4:A8
5.216,1.2156704820514743,-0.3256987449595928,JacksoniPhone,-51,DA:9A:F3:00:FF:3E
5.221,1.2156704820514743,-0.3256987449595928,D-Link_DIR-612,-53,48:EE:0C:A9:21:B0
5.226,1.2156704820514743,-0.3256987449595928,LAB334,-55,10:27:F5:E0:85:37
5.231,1.2156704820514743,-0.3256987449595928,DIRECT-34-HP M283 LaserJet,-57,AA:3B:76:CB:18:34
5.240,1.2156704820514743,-0.3256987449595928,AIUVL,-62,10:7C:61:DA:BF:A6
5.245,1.2156704820514743,-0.3256987449595928,BMELabIII,-64,14:DA:E9:80:B0:34
5.250,1.2156704820514743,-0.3256987449595928,eduroam,-67,F4:2E:7F:D3:10:80
5.255,1.2156704820514743,-0.3256987449595928,DIRECT-524ABFA7,-67,3A:1A:52:4A:3F:A7
5.260,1.2156704820514743,-0.3256987449595928,NYCU-Guest,-69,F4:2E:7F:D3:10:83
5.265,1.2156704820514743,-0.3256987449595928,BMELab,-69,AC:9E:17:79:CE:50
5.270,1.2156704820514743,-0.3256987449595928,NYCU-Seminar,-70,F4:2E:7F:D3:10:84
5.274,1.2156704820514743,-0.3256987449595928,NYCU,-70,F4:2E:7F:D3:10:82
5.279,1.2156704820514743,-0.3256987449595928,Lab542,-72,A0:36:BC:0E:7A:B8
5.284,1.2156704820514743,-0.3256987449595928,NYCU,-73,F4:2E:7F:D2:93:A2
5.289,1.2156704820514743,-0.3256987449595928,NYCU-Guest,-73,F4:2E:7F:D2:93:A3
5.295,1.2156704820514743,-0.3256987449595928,NYCU-Seminar,-73,F4:2E:7F:D2:93:A4
5.299,1.2156704820514743,-0.3256987449595928,eduroam,-74,F4:2E:7F:D2:93:A0
5.304,1.2156704820514743,-0.3256987449595928,LAB337_EX(2.4G),-74,34:97:F6:A6:80:40
5.309,1.2156704820514743,-0.3256987449595928,LAB540,-76,10:7C:61:E6:63:74
5.314,1.2156704820514743,-0.3256987449595928,PM2.5_Setup_E4,-80,74:DA:38:C7:D3:E5
5.319,1.2156704820514743,-0.3256987449595928,DIRECT-3E-HP Color LJ 4303,-80,BE:0F:F3:F6:CA:3E
5.324,1.2156704820514743,-0.3256987449595928,WYTN_RD-Meeting,-83,A8:5E:45:9A:73:80
7.606,0.9541964134699669,-0.29681003727730554,ASUS_A8_2G,-49,F0:2F:74:E2:C4:A8
7.613,0.9541964134699669,-0.29681003727730554,LAB334,-55,10:27:F5:E0:85:37
7.618,0.9541964134699669,-0.29681003727730554,D-Link_DIR-612,-56,48:EE:0C:A9:21:B0
